File Name:	C:\Rodrigo Simetti\2016 - 06 Termo Tulio\Eucalyptus DTG-60H 2016-05-28 15-50.tad

[File Information]
File Name:	Eucalyptus DTG-60H 2016-05-28 15-50.tad
Sample Name:	Eucalyptus 02
Acquisition Date	16/05/28
Acquisition Time	15:51:28(-0300)
Detector:	DTG-60H
Serial No:	C30574700307
Operator:	Rodrigo Simetti
Atmosphere:	Nitrogen
Flow Rate:	50[ml/min]
Annotation:	Trabalho 2016
	Eucalyptus 
Cell:	Alumina
Sample Weight:	4.246[mg]
Molecular Weight:	0.00


[Program]
[Sampling Parameters]
Sampling Time [ sec ]:	1.0
Start Acquisition Setting:	Acquisition measurement simultaneously
Stop Acquisition Setting:	Acquisition measurement simultaneously


[Temp Program]
Temp Rate	Hold Temp	Hold Time	Gas
[C/min ]	[  C   ]	[  min  ]
10.00	600.0	0	1


[Data]
Time	Temp	DTA	TGA
sec	C	uV	mg
0.000	39.879	-6.750	4.246
1.000	39.923	-6.792	4.245
2.000	40.148	-6.832	4.243
3.000	40.088	-6.871	4.242
4.000	40.239	-6.910	4.241
5.000	40.227	-6.949	4.239
6.000	40.433	-6.987	4.238
7.000	40.402	-7.022	4.236
8.000	40.528	-7.059	4.235
9.000	40.585	-7.093	4.233
10.000	40.766	-7.128	4.232
11.000	40.742	-7.158	4.230
12.000	40.777	-7.191	4.229
13.000	40.909	-7.221	4.227
14.000	40.982	-7.253	4.226
15.000	41.113	-7.280	4.224
16.000	41.041	-7.309	4.223
17.000	41.267	-7.335	4.221
18.000	41.185	-7.362	4.219
19.000	41.384	-7.387	4.218
20.000	41.282	-7.411	4.216
21.000	41.473	-7.436	4.214
22.000	41.473	-7.459	4.213
23.000	41.607	-7.481	4.211
24.000	41.590	-7.499	4.209
25.000	41.705	-7.522	4.208
26.000	41.748	-7.541	4.206
27.000	41.813	-7.562	4.204
28.000	41.835	-7.578	4.203
29.000	41.860	-7.597	4.201
30.000	42.014	-7.613	4.199
31.000	41.971	-7.631	4.198
32.000	42.141	-7.644	4.196
33.000	42.018	-7.658	4.195
34.000	42.187	-7.672	4.193
35.000	42.150	-7.683	4.192
36.000	42.291	-7.694	4.190
37.000	42.224	-7.705	4.188
38.000	42.395	-7.715	4.187
39.000	42.435	-7.723	4.185
40.000	42.458	-7.731	4.184
41.000	42.456	-7.736	4.182
42.000	42.490	-7.743	4.181
43.000	42.627	-7.747	4.179
44.000	42.580	-7.751	4.178
45.000	42.684	-7.753	4.176
46.000	42.659	-7.756	4.174
47.000	42.820	-7.758	4.173
48.000	42.719	-7.757	4.171
49.000	42.832	-7.755	4.169
50.000	42.812	-7.755	4.168
51.000	42.971	-7.754	4.166
52.000	42.964	-7.750	4.165
53.000	43.014	-7.748	4.163
54.000	42.996	-7.745	4.162
55.000	43.048	-7.743	4.160
56.000	43.109	-7.738	4.158
57.000	43.065	-7.734	4.157
58.000	43.177	-7.728	4.155
59.000	43.132	-7.723	4.154
60.000	43.356	-7.715	4.152
61.000	43.206	-7.706	4.151
62.000	43.351	-7.697	4.149
63.000	43.288	-7.687	4.148
64.000	43.481	-7.678	4.146
65.000	43.393	-7.664	4.145
66.000	43.475	-7.653	4.143
67.000	43.507	-7.639	4.142
68.000	43.581	-7.629	4.140
69.000	43.567	-7.614	4.139
70.000	43.533	-7.602	4.138
71.000	43.619	-7.588	4.136
72.000	43.631	-7.576	4.135
73.000	43.748	-7.559	4.134
74.000	43.641	-7.545	4.132
75.000	43.884	-7.529	4.131
76.000	43.767	-7.514	4.129
77.000	43.925	-7.497	4.128
78.000	43.792	-7.479	4.127
79.000	43.929	-7.465	4.125
80.000	43.917	-7.447	4.124
81.000	44.036	-7.431	4.123
82.000	44.030	-7.412	4.121
83.000	44.012	-7.395	4.120
84.000	44.095	-7.377	4.119
85.000	44.103	-7.360	4.117
86.000	44.193	-7.339	4.116
87.000	44.159	-7.321	4.115
88.000	44.354	-7.303	4.114
89.000	44.312	-7.282	4.112
90.000	44.385	-7.263	4.111
91.000	44.285	-7.244	4.110
92.000	44.474	-7.224	4.109
93.000	44.464	-7.204	4.107
94.000	44.557	-7.185	4.106
95.000	44.495	-7.165	4.105
96.000	44.603	-7.148	4.103
97.000	44.679	-7.129	4.102
98.000	44.663	-7.111	4.101
99.000	44.743	-7.093	4.099
100.000	44.754	-7.077	4.098
101.000	44.931	-7.060	4.097
102.000	44.863	-7.042	4.096
103.000	45.011	-7.027	4.095
104.000	44.940	-7.010	4.093
105.000	45.120	-6.995	4.092
106.000	45.073	-6.979	4.091
107.000	45.192	-6.963	4.090
108.000	45.205	-6.948	4.089
109.000	45.340	-6.934	4.088
110.000	45.428	-6.917	4.087
111.000	45.392	-6.904	4.086
112.000	45.521	-6.890	4.084
113.000	45.540	-6.878	4.083
114.000	45.733	-6.863	4.082
115.000	45.652	-6.851	4.081
116.000	45.851	-6.840	4.080
117.000	45.869	-6.827	4.079
118.000	46.072	-6.817	4.078
119.000	45.977	-6.805	4.077
120.000	46.125	-6.795	4.076
121.000	46.156	-6.785	4.075
122.000	46.350	-6.777	4.074
123.000	46.364	-6.767	4.073
124.000	46.480	-6.761	4.071
125.000	46.655	-6.754	4.070
126.000	46.683	-6.751	4.069
127.000	46.801	-6.745	4.068
128.000	46.784	-6.742	4.067
129.000	47.064	-6.739	4.066
130.000	47.086	-6.737	4.065
131.000	47.290	-6.736	4.064
132.000	47.257	-6.735	4.063
133.000	47.483	-6.736	4.062
134.000	47.532	-6.738	4.061
135.000	47.717	-6.740	4.060
136.000	47.773	-6.743	4.059
137.000	47.965	-6.749	4.058
138.000	48.128	-6.754	4.057
139.000	48.241	-6.760	4.056
140.000	48.351	-6.766	4.055
141.000	48.406	-6.775	4.054
142.000	48.692	-6.782	4.053
143.000	48.726	-6.790	4.052
144.000	48.935	-6.799	4.050
145.000	48.999	-6.808	4.049
146.000	49.294	-6.820	4.048
147.000	49.342	-6.830	4.047
148.000	49.502	-6.841	4.046
149.000	49.635	-6.853	4.046
150.000	49.857	-6.868	4.044
151.000	50.047	-6.880	4.043
152.000	50.122	-6.896	4.042
153.000	50.353	-6.910	4.041
154.000	50.455	-6.927	4.040
155.000	50.734	-6.943	4.039
156.000	50.738	-6.958	4.039
157.000	51.049	-6.977	4.038
158.000	51.131	-6.993	4.037
159.000	51.481	-7.013	4.036
160.000	51.518	-7.031	4.035
161.000	51.777	-7.051	4.034
162.000	51.911	-7.071	4.033
163.000	52.160	-7.093	4.032
164.000	52.314	-7.111	4.031
165.000	52.446	-7.133	4.030
166.000	52.742	-7.153	4.029
167.000	52.921	-7.175	4.028
168.000	53.155	-7.193	4.027
169.000	53.192	-7.215	4.026
170.000	53.529	-7.236	4.025
171.000	53.662	-7.257	4.023
172.000	53.977	-7.277	4.022
173.000	54.094	-7.299	4.022
174.000	54.408	-7.321	4.021
175.000	54.544	-7.343	4.020
176.000	54.777	-7.366	4.018
177.000	54.907	-7.387	4.017
178.000	55.136	-7.410	4.016
179.000	55.403	-7.431	4.015
180.000	55.558	-7.454	4.014
181.000	55.826	-7.474	4.013
182.000	55.943	-7.496	4.012
183.000	56.272	-7.518	4.011
184.000	56.399	-7.537	4.010
185.000	56.672	-7.558	4.009
186.000	56.829	-7.578	4.008
187.000	57.164	-7.599	4.007
188.000	57.330	-7.616	4.007
189.000	57.552	-7.636	4.006
190.000	57.713	-7.655	4.005
191.000	57.941	-7.673	4.004
192.000	58.223	-7.690	4.003
193.000	58.337	-7.707	4.002
194.000	58.643	-7.722	4.001
195.000	58.781	-7.739	4.000
196.000	59.176	-7.754	3.999
197.000	59.199	-7.767	3.998
198.000	59.533	-7.782	3.997
199.000	59.680	-7.795	3.996
200.000	60.017	-7.808	3.995
201.000	60.154	-7.817	3.994
202.000	60.379	-7.828	3.993
203.000	60.615	-7.837	3.992
204.000	60.839	-7.847	3.991
205.000	61.034	-7.851	3.990
206.000	61.171	-7.860	3.989
207.000	61.496	-7.864	3.989
208.000	61.637	-7.869	3.988
